ts,value
1725926400000,-107.0
1725930000000,-65.0
1725933600000,-95.0
1725937200000,-116.0
1725940800000,-120.0
1725944400000,-105.0
1725948000000,-105.0
1725951600000,-67.0
1725955200000,-57.0
1725958800000,-61.0
1725962400000,-62.0
1725966000000,-68.0
1725969600000,-57.0
1725973200000,-1.0
1725976800000,-19.0
1725980400000,-104.0
1725984000000,-50.0
1725987600000,-47.0
1725991200000,-63.0
1725994800000,-77.0
1725998400000,-85.0
1726002000000,-108.0
1726005600000,-93.0
1726009200000,-102.0
1726012800000,-98.0
1726016400000,-79.0
1726020000000,-85.0
1726023600000,-105.0
1726027200000,-107.0
1726030800000,-107.0
1726034400000,-107.0
1726038000000,-107.0
1726041600000,-112.0
1726045200000,-96.0
1726048800000,-100.0
1726052400000,-105.0
1726056000000,-95.0
1726059600000,-120.0
1726063200000,-74.0
1726066800000,-111.0
1726070400000,-86.0
1726074000000,-106.0
1726077600000,-71.0
1726081200000,-75.0
1726084800000,-101.0
1726088400000,-114.0
1726092000000,-117.0
1726095600000,-109.0
1726099200000,-100.0
1726102800000,-102.0
1726106400000,-80.0
1726110000000,-87.0
1726113600000,-103.0
1726117200000,-106.0
1726120800000,-118.0
1726124400000,-101.0
1726128000000,-62.0
1726131600000,-56.0
1726135200000,-57.0
1726138800000,-59.0
1726142400000,-38.0
1726146000000,-40.0
1726149600000,-62.0
1726153200000,-91.0
1726156800000,-112.0
1726160400000,-108.0
1726164000000,-56.0
1726167600000,-87.0
1726171200000,-113.0
1726174800000,-117.0
1726178400000,-125.0
1726182000000,-112.0
1726185600000,-127.0
1726189200000,-103.0
1726192800000,-119.0
1726196400000,-117.0
1726200000000,-115.0
1726203600000,-108.0
1726207200000,-70.0
1726210800000,-78.0
1726214400000,-110.0
1726218000000,-106.0
1726221600000,-43.0
1726225200000,-101.0
1726228800000,-95.0
1726232400000,-91.0
1726236000000,-117.0
1726239600000,-80.0
1726243200000,-63.0
1726246800000,-87.0
1726250400000,-60.0
1726254000000,-113.0
1726257600000,-109.0
1726261200000,-123.0
1726264800000,-107.0
1726268400000,-114.0
1726272000000,-111.0
1726275600000,-110.0
1726279200000,-59.0
1726282800000,-99.0
1726286400000,-108.0
1726290000000,-117.0
1726293600000,-116.0
1726297200000,-99.0
1726300800000,-114.0
1726304400000,-109.0
1726308000000,-71.0
1726311600000,-91.0
1726315200000,-117.0
1726318800000,-118.0
1726322400000,-100.0
1726326000000,-114.0
1726329600000,-114.0
1726333200000,-106.0
1726336800000,-70.0
1726340400000,-101.0
1726344000000,-107.0
1726347600000,-112.0
1726351200000,-102.0
1726354800000,-111.0
