ts,value
1725926400000,-69.0
1725930000000,-92.0
1725933600000,-92.0
1725937200000,-88.0
1725940800000,-71.0
1725944400000,-77.0
1725948000000,-86.0
1725951600000,-78.0
1725955200000,-80.0
1725958800000,-78.0
1725962400000,-69.0
1725966000000,-85.0
1725969600000,-95.0
1725973200000,-77.0
1725976800000,-80.0
1725980400000,-85.0
1725984000000,-94.0
1725987600000,-76.0
1725991200000,-34.0
1725994800000,-59.0
1725998400000,-70.0
1726002000000,-91.0
1726005600000,-84.0
1726009200000,-82.0
1726012800000,-64.0
1726016400000,-90.0
1726020000000,-70.0
1726023600000,-92.0
1726027200000,-57.0
1726030800000,-82.0
1726034400000,-86.0
1726038000000,-86.0
1726041600000,-87.0
1726045200000,-69.0
1726048800000,-76.0
1726052400000,-32.0
1726056000000,-47.0
1726059600000,-88.0
1726063200000,-85.0
1726066800000,-94.0
1726070400000,-79.0
1726074000000,-80.0
1726077600000,-60.0
1726081200000,-89.0
1726084800000,-91.0
1726088400000,-88.0
1726092000000,-33.0
1726095600000,-37.0
1726099200000,-82.0
1726102800000,-89.0
1726106400000,-82.0
1726110000000,-85.0
1726113600000,-88.0
1726117200000,-80.0
1726120800000,-81.0
1726124400000,-92.0
1726128000000,-91.0
1726131600000,-93.0
1726135200000,-84.0
1726138800000,-87.0
1726142400000,-77.0
1726146000000,-85.0
1726149600000,-23.0
1726153200000,-84.0
1726156800000,-80.0
1726160400000,-91.0
1726164000000,-73.0
1726167600000,-76.0
1726171200000,-89.0
1726174800000,-87.0
1726178400000,-82.0
1726182000000,-80.0
1726185600000,-67.0
1726189200000,-52.0
1726192800000,-30.0
1726196400000,-83.0
1726200000000,-84.0
1726203600000,-85.0
1726207200000,-68.0
1726210800000,-76.0
1726214400000,-85.0
1726218000000,-82.0
1726221600000,-76.0
1726225200000,-71.0
1726228800000,-87.0
1726232400000,-61.0
1726236000000,-29.0
1726239600000,-61.0
1726243200000,-86.0
1726246800000,-95.0
1726250400000,-70.0
1726254000000,-92.0
1726257600000,-83.0
1726261200000,-91.0
1726264800000,-96.0
1726268400000,-95.0
1726272000000,-76.0
1726275600000,-78.0
1726279200000,-81.0
1726282800000,-67.0
1726286400000,-77.0
1726290000000,-75.0
1726293600000,-50.0
1726297200000,-82.0
1726300800000,-93.0
1726304400000,-92.0
1726308000000,-92.0
1726311600000,-75.0
1726315200000,-88.0
1726318800000,-92.0
1726322400000,-29.0
1726326000000,-80.0
1726329600000,-74.0
1726333200000,-85.0
1726336800000,-87.0
1726340400000,-64.0
1726344000000,-78.0
1726347600000,-79.0
1726351200000,-89.0
1726354800000,-86.0
