ti_name,ti_number,model
"АО ""AЭС Усть-Каменогорская ТЭЦ""",725,AO_AES_Ust_Kamenogorskaa_TEZ
"ТОО ""AЭС Согринская ТЭЦ""",726,TOO_AES_Sogrinskaa_TEZ
"АО ""Риддер ТЭЦ""",727,AO_Ridder_TEZ
"Бухтарминский  ГЭК ТОО ""Казцинк""",722,Buhtarminskij_GEK_TOO_Kazzink
"ТОО ""AЭС Усть-Каменогорская ГЭС""",723,TOO_AES_Ust_Kamenogorskaa_GES
"ТОО ""Компания ЛК ГЭС """,1384,TOO_Kompania_LK_GES
"СЭС Нетто-потреб. ТОО ""ШыгысЭнергоТрейд"" ",822,SES_Netto_potreb_TOO_SygysEnergoTrejd
"Семипалатинская ТЭЦ-1 ГКП ""Теплокоммунэнерго""",1383,Semipalatinskaa_TEZ_1_GKP_Teplokommunenergo
"ТОО ""AЭС Шульбинская ГЭС""",728,TOO_AES_Sul_binskaa_GES
"Карагандинская ГРЭС-1 ТОО ""Bassel Group LLS""",255,Karagandinskaa_GRES_1_TOO_Bassel_Group_LLS
"Карагандинская ГРЭС ТОО ""ТОПАР"" ",256,Karagandinskaa_GRES_TOO_TOPAR
"Балхашская ТЭЦ ТОО ""Казахмыс Энерджи""",261,Balhasskaa_TEZ_TOO_Kazahmys_Enerdji
"ТЭЦ-1 ТОО ""Караганда-Энергоцентр""",257,TEZ_1_TOO_Karaganda_Energozentr
"ТЭЦ-2 АО ""Арселор Миттал Темиртау""",258,TEZ_2_AO_Arselor_Mittal_Temirtau
"ТЭЦ-3 ТОО ""Караганда-Энергоцентр""",259,TEZ_3_TOO_Karaganda_Energozentr
"ТЭЦ ТОО ""Шахтинсктеплоэнерго""",263,TEZ_TOO_Sahtinskteploenergo
"ТЭЦ-ПВС АО ""Арселор Миттал Темиртау""",262,TEZ_PVS_AO_Arselor_Mittal_Temirtau
"СЭС ""Сарань"" ТОО""SES Saran""",3519,SES_Saran_TOOSES_Saran
"СЭС ""Гульшат"" ТОО ""КПМ ""Дельта""",1933,SES_Gul_sat_TOO_KPM_Del_ta
