dt,y,y_pred
2022-01-03 08:00:00,1372.0,1388.1196
2022-01-03 09:00:00,1473.0,1470.7747
2022-01-03 10:00:00,1572.0,1536.5847
2022-01-03 11:00:00,1568.0,1526.9136
2022-01-03 12:00:00,1564.0,1553.8408
2022-01-03 13:00:00,1558.0,1526.093
2022-01-03 14:00:00,1557.0,1507.0037
2022-01-03 15:00:00,1599.0,1508.7368
2022-01-03 16:00:00,1603.0,1509.57
2022-01-03 17:00:00,1703.0,1571.4954
2022-01-03 18:00:00,1791.0,1675.7653
2022-01-03 19:00:00,1789.0,1676.4458
2022-01-03 20:00:00,1724.0,1692.7028
2022-01-03 21:00:00,1728.0,1676.0382
2022-01-03 22:00:00,1666.0,1600.8256
2022-01-03 23:00:00,1593.0,1524.0276
2022-01-04 00:00:00,1468.0,1458.4211
2022-01-04 01:00:00,1354.0,1370.1206
2022-01-04 02:00:00,1322.0,1332.6145
2022-01-04 03:00:00,1286.0,1325.3755
2022-01-04 04:00:00,1280.0,1300.4141
2022-01-04 05:00:00,1286.0,1276.823
2022-01-04 06:00:00,1309.0,1329.3982
2022-01-04 07:00:00,1347.0,1404.3641
2022-01-04 08:00:00,1415.0,1390.4631
2022-01-04 09:00:00,1522.0,1487.0559
2022-01-04 10:00:00,1642.0,1524.2617
2022-01-04 11:00:00,1680.0,1556.2407
2022-01-04 12:00:00,1728.0,1576.4194
2022-01-04 13:00:00,1708.0,1562.0605
2022-01-04 14:00:00,1713.0,1568.5354
2022-01-04 15:00:00,1705.0,1563.2915
2022-01-04 16:00:00,1760.0,1565.6562
2022-01-04 17:00:00,1764.0,1619.4142
2022-01-04 18:00:00,1837.0,1742.476
2022-01-04 19:00:00,1890.0,1755.2957
2022-01-04 20:00:00,1789.0,1729.3378
2022-01-04 21:00:00,1781.0,1703.9851
2022-01-04 22:00:00,1710.0,1620.6548
2022-01-04 23:00:00,1575.0,1502.2107
2022-01-05 00:00:00,1459.0,1407.7494
2022-01-05 01:00:00,1441.0,1346.8365
2022-01-05 02:00:00,1305.0,1286.8506
2022-01-05 03:00:00,1280.0,1278.3367
2022-01-05 04:00:00,1286.0,1273.9718
2022-01-05 05:00:00,1286.0,1288.4382
2022-01-05 06:00:00,1316.0,1314.0432
2022-01-05 07:00:00,1391.0,1370.1868
2022-01-05 08:00:00,1477.0,1443.9323
2022-01-05 09:00:00,1557.0,1564.7317
2022-01-05 10:00:00,1632.0,1647.4846
2022-01-05 11:00:00,1638.0,1652.4509
2022-01-05 12:00:00,1632.0,1625.5098
2022-01-05 13:00:00,1630.0,1594.7052
2022-01-05 14:00:00,1627.0,1622.5171
2022-01-05 15:00:00,1583.0,1667.0004
2022-01-05 16:00:00,1601.0,1661.5719
2022-01-05 17:00:00,1603.0,1711.7468
2022-01-05 18:00:00,1603.0,1799.6729
2022-01-05 19:00:00,1649.0,1806.0664
2022-01-05 20:00:00,1605.0,1771.6564
2022-01-05 21:00:00,1582.0,1731.2021
2022-01-05 22:00:00,1529.0,1642.7081
2022-01-05 23:00:00,1435.0,1576.9387
2022-01-06 00:00:00,1334.0,1458.1072
2022-01-06 01:00:00,1292.0,1343.9795
2022-01-06 02:00:00,1277.0,1313.5486
2022-01-06 03:00:00,1245.0,1292.6328
2022-01-06 04:00:00,1227.0,1291.2478
2022-01-06 05:00:00,1246.0,1307.169
2022-01-06 06:00:00,1229.0,1360.647
2022-01-06 07:00:00,1276.0,1407.8784
2022-01-06 08:00:00,1352.0,1470.4163
2022-01-06 09:00:00,1355.0,1573.3593
2022-01-06 10:00:00,1439.0,1681.5693
2022-01-06 11:00:00,1462.0,1705.9364
2022-01-06 12:00:00,1496.0,1710.0483
2022-01-06 13:00:00,1484.0,1700.3282
2022-01-06 14:00:00,1478.0,1713.985
2022-01-06 15:00:00,1469.0,1700.5131
2022-01-06 16:00:00,1498.0,1740.2495
2022-01-06 17:00:00,1533.0,1744.9401
2022-01-06 18:00:00,1596.0,1790.1199
2022-01-06 19:00:00,1542.0,1823.8224
2022-01-06 20:00:00,1514.0,1801.6125
2022-01-06 21:00:00,1501.0,1805.5547
2022-01-06 22:00:00,1426.0,1694.7739
2022-01-06 23:00:00,1331.0,1596.4508
2022-01-07 00:00:00,1239.0,1484.7192
2022-01-07 01:00:00,1197.0,1422.9148
2022-01-07 02:00:00,1153.0,1326.5735
2022-01-07 03:00:00,1130.0,1312.6128
2022-01-07 04:00:00,1122.5,1305.2373
2022-01-07 05:00:00,1123.75,1303.2115
2022-01-07 06:00:00,1133.0,1328.6509
2022-01-07 07:00:00,1171.0,1353.5432
2022-01-07 08:00:00,1225.0,1393.4885
2022-01-07 09:00:00,1265.0,1465.8472
2022-01-07 10:00:00,1366.0,1551.2551
2022-01-07 11:00:00,1424.0,1548.8328
2022-01-07 12:00:00,1461.0,1550.6628
2022-01-07 13:00:00,1479.0,1544.1193
2022-01-07 14:00:00,1474.0,1547.1244
2022-01-07 15:00:00,1443.0,1500.1741
2022-01-07 16:00:00,1505.0,1506.1274
2022-01-07 17:00:00,1472.0,1511.7881
2022-01-07 18:00:00,1580.0,1546.5651
2022-01-07 19:00:00,1557.0,1609.3608
2022-01-07 20:00:00,1505.0,1599.7151
2022-01-07 21:00:00,1475.0,1589.3074
2022-01-07 22:00:00,1414.0,1538.7646
2022-01-07 23:00:00,1338.0,1460.2756
2022-01-08 00:00:00,1277.0,1367.7396
2022-01-08 01:00:00,1195.0,1321.0884
2022-01-08 02:00:00,1174.0,1296.5879
2022-01-08 03:00:00,1163.0,1270.2046
2022-01-08 04:00:00,1113.0,1256.7783
2022-01-08 05:00:00,1144.0,1248.9407
2022-01-08 06:00:00,1186.0,1261.3877
2022-01-08 07:00:00,1148.0,1300.6765
2022-01-08 08:00:00,1213.0,1428.2212
2022-01-08 09:00:00,1233.0,1532.963
2022-01-08 10:00:00,1312.0,1586.1489
2022-01-08 11:00:00,1349.0,1597.9556
2022-01-08 12:00:00,1382.0,1633.0879
2022-01-08 13:00:00,1423.0,1619.9858
2022-01-08 14:00:00,1440.0,1632.7424
2022-01-08 15:00:00,1422.0,1624.041
2022-01-08 16:00:00,1442.0,1647.2677
2022-01-08 17:00:00,1481.0,1650.5542
2022-01-08 18:00:00,1582.0,1681.9851
2022-01-08 19:00:00,1596.0,1721.0851
