dt,y,y_pred
2022-01-03 08:00:00,604.0,588.9335
2022-01-03 09:00:00,607.0,600.79114
2022-01-03 10:00:00,602.0,603.51105
2022-01-03 11:00:00,577.0,595.8669
2022-01-03 12:00:00,609.0,609.8352
2022-01-03 13:00:00,618.0,611.63464
2022-01-03 14:00:00,618.0,597.06396
2022-01-03 15:00:00,631.0,586.4248
2022-01-03 16:00:00,591.0,593.7551
2022-01-03 17:00:00,644.0,605.8606
2022-01-03 18:00:00,629.0,618.15063
2022-01-03 19:00:00,662.0,644.3121
2022-01-03 20:00:00,664.0,653.4923
2022-01-03 21:00:00,633.0,665.64795
2022-01-03 22:00:00,564.0,651.7628
2022-01-03 23:00:00,641.0,635.38965
2022-01-04 00:00:00,603.0,610.85535
2022-01-04 01:00:00,547.0,583.3815
2022-01-04 02:00:00,543.0,576.8093
2022-01-04 03:00:00,569.0,562.00684
2022-01-04 04:00:00,561.0,551.14734
2022-01-04 05:00:00,492.0,558.8203
2022-01-04 06:00:00,522.0,571.13245
2022-01-04 07:00:00,584.0,570.68567
2022-01-04 08:00:00,606.0,568.7027
2022-01-04 09:00:00,553.0,579.75977
2022-01-04 10:00:00,555.0,581.9597
2022-01-04 11:00:00,624.0,590.2108
2022-01-04 12:00:00,595.0,583.8235
2022-01-04 13:00:00,630.0,569.8806
2022-01-04 14:00:00,601.0,560.9435
2022-01-04 15:00:00,626.0,568.34717
2022-01-04 16:00:00,650.0,589.76306
2022-01-04 17:00:00,654.0,587.52563
2022-01-04 18:00:00,647.0,592.76697
2022-01-04 19:00:00,625.0,610.77673
2022-01-04 20:00:00,695.0,617.0615
2022-01-04 21:00:00,667.0,608.8602
2022-01-04 22:00:00,705.0,612.9834
2022-01-04 23:00:00,609.0,607.5234
2022-01-05 00:00:00,629.0,584.30554
2022-01-05 01:00:00,605.0,547.28516
2022-01-05 02:00:00,563.0,529.6462
2022-01-05 03:00:00,585.0,545.39136
2022-01-05 04:00:00,605.0,546.58844
2022-01-05 05:00:00,579.0,542.7798
2022-01-05 06:00:00,546.0,535.91675
2022-01-05 07:00:00,593.0,549.80054
2022-01-05 08:00:00,630.0,577.52136
2022-01-05 09:00:00,658.0,576.3827
2022-01-05 10:00:00,616.0,574.4385
2022-01-05 11:00:00,632.0,579.09875
2022-01-05 12:00:00,618.0,587.10187
2022-01-05 13:00:00,572.0,589.9311
