dt,y,y_pred
2022-01-03 08:00:00,193.8,212.60713
2022-01-03 09:00:00,199.0,214.686
2022-01-03 10:00:00,204.0,220.36469
2022-01-03 11:00:00,209.0,222.0433
2022-01-03 12:00:00,215.0,233.76186
2022-01-03 13:00:00,214.0,235.27525
2022-01-03 14:00:00,214.0,229.80244
2022-01-03 15:00:00,212.0,231.41095
2022-01-03 16:00:00,206.0,232.7991
2022-01-03 17:00:00,220.0,237.73685
2022-01-03 18:00:00,230.0,243.04684
2022-01-03 19:00:00,249.0,267.18152
2022-01-03 20:00:00,252.0,267.66113
2022-01-03 21:00:00,245.0,270.24414
2022-01-03 22:00:00,241.0,264.4478
2022-01-03 23:00:00,234.0,269.70306
2022-01-04 00:00:00,229.0,265.58078
2022-01-04 01:00:00,208.0,238.30145
2022-01-04 02:00:00,197.0,226.00705
2022-01-04 03:00:00,187.0,220.86835
2022-01-04 04:00:00,182.0,211.66956
2022-01-04 05:00:00,182.0,210.9933
2022-01-04 06:00:00,182.0,211.08218
2022-01-04 07:00:00,185.33333333333331,214.91742
2022-01-04 08:00:00,186.0,206.79108
2022-01-04 09:00:00,193.0,214.43216
2022-01-04 10:00:00,201.0,223.13713
2022-01-04 11:00:00,210.0,237.38658
2022-01-04 12:00:00,223.0,244.1032
2022-01-04 13:00:00,224.0,236.61183
2022-01-04 14:00:00,217.0,232.56607
2022-01-04 15:00:00,222.0,233.00742
2022-01-04 16:00:00,226.0,232.58508
2022-01-04 17:00:00,228.0,233.09833
2022-01-04 18:00:00,237.0,239.24286
2022-01-04 19:00:00,261.0,265.06238
2022-01-04 20:00:00,263.0,260.2075
2022-01-04 21:00:00,256.0,252.81065
2022-01-04 22:00:00,254.0,255.01419
2022-01-04 23:00:00,245.0,252.7858
2022-01-05 00:00:00,226.0,241.2669
2022-01-05 01:00:00,216.0,223.15466
2022-01-05 02:00:00,208.0,208.28424
2022-01-05 03:00:00,194.0,202.7123
2022-01-05 04:00:00,189.0,202.15977
2022-01-05 05:00:00,188.0,201.31377
2022-01-05 06:00:00,187.0,199.19833
2022-01-05 07:00:00,194.0,204.60706
2022-01-05 08:00:00,201.0,203.86986
2022-01-05 09:00:00,212.0,214.17545
2022-01-05 10:00:00,228.0,221.54106
2022-01-05 11:00:00,226.0,223.6891
2022-01-05 12:00:00,227.0,225.21973
2022-01-05 13:00:00,231.0,227.82016
2022-01-05 14:00:00,222.0,226.54889
2022-01-05 15:00:00,247.0,221.97353
2022-01-05 16:00:00,249.0,221.96544
2022-01-05 17:00:00,248.0,229.36462
2022-01-05 18:00:00,248.0,237.82477
2022-01-05 19:00:00,255.0,255.9681
2022-01-05 20:00:00,262.0,259.31335
2022-01-05 21:00:00,253.0,258.58453
2022-01-05 22:00:00,252.0,255.04999
2022-01-05 23:00:00,241.0,246.57104
2022-01-06 00:00:00,234.0,232.81474
2022-01-06 01:00:00,224.0,219.11676
2022-01-06 02:00:00,228.0,205.28491
2022-01-06 03:00:00,215.0,201.38571
2022-01-06 04:00:00,209.0,193.32355
2022-01-06 05:00:00,217.0,188.22641
2022-01-06 06:00:00,197.0,188.44727
2022-01-06 07:00:00,234.0,193.59894
2022-01-06 08:00:00,210.0,200.9621
2022-01-06 09:00:00,223.0,210.43318
2022-01-06 10:00:00,237.0,222.53291
2022-01-06 11:00:00,235.0,222.57507
2022-01-06 12:00:00,241.0,225.12401
2022-01-06 13:00:00,235.0,225.0981
2022-01-06 14:00:00,234.0,224.68088
2022-01-06 15:00:00,233.0,225.06805
2022-01-06 16:00:00,241.0,225.60732
2022-01-06 17:00:00,248.0,229.88649
2022-01-06 18:00:00,234.0,241.58951
2022-01-06 19:00:00,248.0,265.48102
2022-01-06 20:00:00,244.0,266.03796
2022-01-06 21:00:00,278.0,261.4754
2022-01-06 22:00:00,271.0,257.92896
2022-01-06 23:00:00,256.0,254.29865
2022-01-07 00:00:00,247.0,231.40228
2022-01-07 01:00:00,221.0,220.74136
2022-01-07 02:00:00,219.0,209.95502
2022-01-07 03:00:00,212.0,203.48785
2022-01-07 04:00:00,212.0,200.25421
2022-01-07 05:00:00,188.0,198.45946
2022-01-07 06:00:00,197.0,197.64029
2022-01-07 07:00:00,195.0,199.62369
2022-01-07 08:00:00,214.0,221.0752
2022-01-07 09:00:00,228.0,215.96754
2022-01-07 10:00:00,224.0,220.8254
2022-01-07 11:00:00,235.0,220.80083
2022-01-07 12:00:00,244.0,221.54892
2022-01-07 13:00:00,244.0,226.15598
2022-01-07 14:00:00,240.0,225.3934
2022-01-07 15:00:00,235.0,243.7473
2022-01-07 16:00:00,239.0,248.13084
2022-01-07 17:00:00,237.0,249.94336
2022-01-07 18:00:00,255.0,251.61954
2022-01-07 19:00:00,285.0,253.79865
2022-01-07 20:00:00,283.0,263.34204
2022-01-07 21:00:00,283.0,253.70645
2022-01-07 22:00:00,267.0,253.69942
2022-01-07 23:00:00,259.0,250.42389
2022-01-08 00:00:00,246.0,238.86987
2022-01-08 01:00:00,217.0,220.84454
2022-01-08 02:00:00,212.0,214.59706
2022-01-08 03:00:00,206.0,213.43176
2022-01-08 04:00:00,193.0,209.03477
2022-01-08 05:00:00,193.0,211.6965
2022-01-08 06:00:00,191.0,203.03421
2022-01-08 07:00:00,195.0,219.33098
2022-01-08 08:00:00,204.0,204.20668
2022-01-08 09:00:00,211.0,210.39577
2022-01-08 10:00:00,224.0,218.03828
2022-01-08 11:00:00,239.0,218.52808
2022-01-08 12:00:00,247.0,218.17805
2022-01-08 13:00:00,245.0,218.5176
2022-01-08 14:00:00,245.0,218.61095
2022-01-08 15:00:00,240.0,218.30122
2022-01-08 16:00:00,238.0,220.4121
2022-01-08 17:00:00,244.0,229.57301
2022-01-08 18:00:00,259.0,242.25566
2022-01-08 19:00:00,285.0,260.1701
2022-01-08 20:00:00,286.0,260.61688
2022-01-08 21:00:00,285.0,260.09113
2022-01-08 22:00:00,279.0,255.552
2022-01-08 23:00:00,272.0,250.4102
2022-01-09 00:00:00,250.0,232.78397
2022-01-09 01:00:00,234.0,215.90602
2022-01-09 02:00:00,219.0,207.5283
2022-01-09 03:00:00,206.0,206.22565
2022-01-09 04:00:00,207.0,203.4715
2022-01-09 05:00:00,200.0,203.30234
2022-01-09 06:00:00,202.0,202.4471
2022-01-09 07:00:00,201.0,201.06218
2022-01-09 08:00:00,210.0,215.29755
2022-01-09 09:00:00,215.0,220.1144
2022-01-09 10:00:00,226.0,221.9154
2022-01-09 11:00:00,239.0,220.34407
2022-01-09 12:00:00,253.0,219.38893
2022-01-09 13:00:00,256.0,218.70348
2022-01-09 14:00:00,256.0,222.31316
2022-01-09 15:00:00,248.0,242.60126
2022-01-09 16:00:00,250.0,247.05016
2022-01-09 17:00:00,253.0,247.42136
2022-01-09 18:00:00,264.0,249.01257
2022-01-09 19:00:00,290.09090909090907,252.21445
2022-01-09 20:00:00,290.09090909090907,263.40665
2022-01-09 21:00:00,287.0,255.85622
2022-01-09 22:00:00,283.0,257.15918
2022-01-09 23:00:00,272.0,258.0265
2022-01-10 00:00:00,251.0,248.85397
2022-01-10 01:00:00,226.0,228.27686
2022-01-10 02:00:00,212.0,223.20045
2022-01-10 03:00:00,205.0,222.98253
2022-01-10 04:00:00,200.0,216.92885
2022-01-10 05:00:00,195.0,214.35541
2022-01-10 06:00:00,197.0,212.69264
2022-01-10 07:00:00,201.0,217.22371
2022-01-10 08:00:00,210.0,221.26472
2022-01-10 09:00:00,228.0,231.57478
2022-01-10 10:00:00,245.0,244.6984
2022-01-10 11:00:00,258.0,249.82265
2022-01-10 12:00:00,260.0,255.62428
2022-01-10 13:00:00,262.0,254.65662
2022-01-10 14:00:00,254.0,255.17816
2022-01-10 15:00:00,251.0,253.06929
2022-01-10 16:00:00,246.0,252.63217
2022-01-10 17:00:00,247.0,256.91455
2022-01-10 18:00:00,260.0,264.2901
2022-01-10 19:00:00,293.0,286.51752
2022-01-10 20:00:00,292.0,288.25128
2022-01-10 21:00:00,285.0,287.4182
2022-01-10 22:00:00,284.0,278.401
2022-01-10 23:00:00,270.0,273.60068
2022-01-11 00:00:00,250.0,258.25494
2022-01-11 01:00:00,229.0,240.67195
2022-01-11 02:00:00,214.0,227.12573
2022-01-11 03:00:00,205.0,218.16838
2022-01-11 04:00:00,202.0,216.07222
2022-01-11 05:00:00,201.0,212.15752
2022-01-11 06:00:00,203.0,213.45749
2022-01-11 07:00:00,203.0,213.5472
2022-01-11 08:00:00,222.0,223.10765
2022-01-11 09:00:00,204.0,238.42075
2022-01-11 10:00:00,252.0,247.54129
2022-01-11 11:00:00,261.0,254.1513
2022-01-11 12:00:00,261.0,258.07855
2022-01-11 13:00:00,252.0,262.23996
2022-01-11 14:00:00,245.0,262.17944
2022-01-11 15:00:00,241.0,258.30286
2022-01-11 16:00:00,240.0,257.95575
2022-01-11 17:00:00,248.0,257.9954
2022-01-11 18:00:00,261.0,271.58514
2022-01-11 19:00:00,261.0,296.28677
2022-01-11 20:00:00,290.0,297.2436
2022-01-11 21:00:00,288.0,289.45477
2022-01-11 22:00:00,283.0,287.32178
2022-01-11 23:00:00,276.0,275.85748
2022-01-12 00:00:00,252.0,254.09952
2022-01-12 01:00:00,228.0,228.09364
2022-01-12 02:00:00,214.0,216.35649
2022-01-12 03:00:00,202.0,215.38745
2022-01-12 04:00:00,201.0,207.75479
2022-01-12 05:00:00,202.0,206.6206
2022-01-12 06:00:00,201.0,205.56172
2022-01-12 07:00:00,206.0,213.57848
2022-01-12 08:00:00,226.0,219.85992
2022-01-12 09:00:00,237.0,237.04755
2022-01-12 10:00:00,257.0,253.068
2022-01-12 11:00:00,264.0,259.89258
2022-01-12 12:00:00,267.0,262.3062
2022-01-12 13:00:00,263.0,262.55585
2022-01-12 14:00:00,249.0,254.82394
2022-01-12 15:00:00,248.0,254.14122
2022-01-12 16:00:00,251.0,254.31802
2022-01-12 17:00:00,252.0,254.93457
2022-01-12 18:00:00,267.0,269.12073
2022-01-12 19:00:00,300.0,295.3308
2022-01-12 20:00:00,294.0,296.5569
2022-01-12 21:00:00,288.0,289.62268
2022-01-12 22:00:00,288.0,287.0062
2022-01-12 23:00:00,277.0,274.91864
2022-01-13 00:00:00,263.0,253.20273
2022-01-13 01:00:00,235.0,227.24313
2022-01-13 02:00:00,218.0,219.29756
2022-01-13 03:00:00,212.0,213.21729
2022-01-13 04:00:00,205.0,211.45306
2022-01-13 05:00:00,206.0,211.21155
2022-01-13 06:00:00,206.0,210.46957
2022-01-13 07:00:00,208.0,211.57224
2022-01-13 08:00:00,223.0,216.8179
2022-01-13 09:00:00,243.0,224.69168
2022-01-13 10:00:00,259.0,251.10553
2022-01-13 11:00:00,270.0,263.64392
2022-01-13 12:00:00,271.0,262.3062
2022-01-13 13:00:00,271.0,253.85027
2022-01-13 14:00:00,265.0,254.82394
2022-01-13 15:00:00,263.0,250.66525
2022-01-13 16:00:00,260.0,250.84229
2022-01-13 17:00:00,266.0,254.93457
2022-01-13 18:00:00,277.0,265.36896
2022-01-13 19:00:00,302.0,268.65906
2022-01-13 20:00:00,297.0,285.92352
2022-01-13 21:00:00,293.0,286.63226
2022-01-13 22:00:00,287.0,287.0062
2022-01-13 23:00:00,275.0,276.9309
2022-01-14 00:00:00,257.0,253.20273
2022-01-14 01:00:00,235.0,227.67299
2022-01-14 02:00:00,219.0,219.48795
2022-01-14 03:00:00,209.0,213.21729
2022-01-14 04:00:00,205.0,211.45306
2022-01-14 05:00:00,201.0,211.12502
2022-01-14 06:00:00,205.0,210.24478
2022-01-14 07:00:00,206.0,211.49268
2022-01-14 08:00:00,224.0,219.90135
2022-01-14 09:00:00,241.0,242.97581
2022-01-14 10:00:00,252.0,256.47604
2022-01-14 11:00:00,273.0,260.9391
2022-01-14 12:00:00,271.0,261.1584
2022-01-14 13:00:00,273.0,260.7092
2022-01-14 14:00:00,260.0,251.59831
2022-01-14 15:00:00,263.0,251.65118
2022-01-14 16:00:00,257.0,251.22507
2022-01-14 17:00:00,263.0,250.11714
2022-01-14 18:00:00,275.0,264.0791
2022-01-14 19:00:00,300.0,296.25342
2022-01-14 20:00:00,295.0,291.0708
2022-01-14 21:00:00,294.0,282.76358
2022-01-14 22:00:00,286.0,279.46057
2022-01-14 23:00:00,273.0,270.6455
2022-01-15 00:00:00,259.0,260.8154
2022-01-15 01:00:00,236.0,232.16068
2022-01-15 02:00:00,212.0,218.09676
2022-01-15 03:00:00,209.0,207.7721
2022-01-15 04:00:00,205.0,206.31433
2022-01-15 05:00:00,201.0,206.12508
2022-01-15 06:00:00,200.0,205.76025
2022-01-15 07:00:00,199.0,207.23653
2022-01-15 08:00:00,215.0,215.15598
2022-01-15 09:00:00,225.0,224.35983
2022-01-15 10:00:00,239.0,243.5454
2022-01-15 11:00:00,248.0,255.68845
2022-01-15 12:00:00,254.0,254.39459
