dt,y,y_pred
2022-01-03 08:00:00,604.0,634.4354
2022-01-03 09:00:00,625.0,629.3904
2022-01-03 10:00:00,622.0,637.49664
2022-01-03 11:00:00,634.0,640.6528
2022-01-03 12:00:00,630.0,651.70776
2022-01-03 13:00:00,646.0,649.1697
2022-01-03 14:00:00,662.0,648.8417
2022-01-03 15:00:00,665.0,650.85254
2022-01-03 16:00:00,661.0,651.8888
2022-01-03 17:00:00,677.0,658.40094
2022-01-03 18:00:00,677.0,661.4686
2022-01-03 19:00:00,694.0,668.0243
2022-01-03 20:00:00,721.0,671.145
2022-01-03 21:00:00,714.0,677.3753
2022-01-03 22:00:00,715.0,687.34314
2022-01-03 23:00:00,705.0,693.66614
2022-01-04 00:00:00,685.0,689.87445
2022-01-04 01:00:00,677.0,686.05316
2022-01-04 02:00:00,667.0,678.12354
2022-01-04 03:00:00,635.0,666.753
2022-01-04 04:00:00,637.0,660.683
2022-01-04 05:00:00,641.0,659.66675
2022-01-04 06:00:00,639.0,645.06885
2022-01-04 07:00:00,604.0,637.75635
2022-01-04 08:00:00,615.0,609.02905
2022-01-04 09:00:00,629.0,610.83826
2022-01-04 10:00:00,638.0,622.205
2022-01-04 11:00:00,656.0,630.1491
2022-01-04 12:00:00,662.0,636.6978
2022-01-04 13:00:00,631.0,639.4176
2022-01-04 14:00:00,680.0,654.7848
2022-01-04 15:00:00,681.0,659.50134
2022-01-04 16:00:00,692.0,659.3812
2022-01-04 17:00:00,648.0,665.4917
2022-01-04 18:00:00,648.0,667.38135
2022-01-04 19:00:00,663.0,669.04333
2022-01-04 20:00:00,650.0,673.63
2022-01-04 21:00:00,641.0,678.0012
2022-01-04 22:00:00,648.0,686.6439
2022-01-04 23:00:00,647.0,690.5427
2022-01-05 00:00:00,635.0,697.7907
2022-01-05 01:00:00,619.0,692.7241
2022-01-05 02:00:00,616.0,672.68896
2022-01-05 03:00:00,611.0,664.7197
2022-01-05 04:00:00,596.0,660.8293
2022-01-05 05:00:00,592.0,649.2694
2022-01-05 06:00:00,598.0,627.2002
2022-01-05 07:00:00,585.0,618.3525
2022-01-05 08:00:00,586.0,626.9586
2022-01-05 09:00:00,600.0,626.5482
2022-01-05 10:00:00,627.0,641.6332
2022-01-05 11:00:00,625.0,645.4044
2022-01-05 12:00:00,626.0,657.63513
2022-01-05 13:00:00,642.0,652.69836
2022-01-05 14:00:00,631.0,659.0299
2022-01-05 15:00:00,623.0,666.1157
2022-01-05 16:00:00,619.0,669.54626
2022-01-05 17:00:00,608.0,674.73065
2022-01-05 18:00:00,608.0,677.496
2022-01-05 19:00:00,638.0,687.215
2022-01-05 20:00:00,607.0,696.54395
2022-01-05 21:00:00,605.0,703.4424
