dt,y,y_pred
2022-01-03 08:00:00,612.0,587.4371
2022-01-03 09:00:00,674.0,613.36487
2022-01-03 10:00:00,740.0,611.71716
2022-01-03 11:00:00,743.0,643.70935
2022-01-03 12:00:00,696.0,638.58575
2022-01-03 13:00:00,754.0,621.0675
2022-01-03 14:00:00,730.0,632.7385
2022-01-03 15:00:00,707.0,646.4088
2022-01-03 16:00:00,710.0,658.88513
2022-01-03 17:00:00,755.0,667.23267
2022-01-03 18:00:00,810.0,727.77734
2022-01-03 19:00:00,892.0,790.538
2022-01-03 20:00:00,860.0,777.60425
2022-01-03 21:00:00,851.0,799.0741
2022-01-03 22:00:00,841.0,782.06165
2022-01-03 23:00:00,749.0,775.6597
2022-01-04 00:00:00,732.0,688.1516
2022-01-04 01:00:00,652.0,617.69666
2022-01-04 02:00:00,606.0,608.19995
2022-01-04 03:00:00,592.0,597.3221
2022-01-04 04:00:00,560.0,578.07886
2022-01-04 05:00:00,613.0,572.6062
2022-01-04 06:00:00,590.0,564.6969
2022-01-04 07:00:00,572.0,573.87445
2022-01-04 08:00:00,663.0,624.0349
2022-01-04 09:00:00,695.0,667.11646
2022-01-04 10:00:00,762.0,656.87146
2022-01-04 11:00:00,893.0,624.2157
2022-01-04 12:00:00,762.0,654.22473
2022-01-04 13:00:00,738.0,642.44226
2022-01-04 14:00:00,828.0,633.65063
2022-01-04 15:00:00,799.0,623.9583
2022-01-04 16:00:00,798.0,645.3132
2022-01-04 17:00:00,798.0,666.4879
2022-01-04 18:00:00,819.0,788.2033
2022-01-04 19:00:00,865.5,812.35254
2022-01-04 20:00:00,875.0,816.9961
2022-01-04 21:00:00,885.0,799.3495
2022-01-04 22:00:00,828.0,776.89197
2022-01-04 23:00:00,756.0,747.74817
2022-01-05 00:00:00,726.0,668.7473
2022-01-05 01:00:00,656.0,623.938
2022-01-05 02:00:00,641.0,574.6623
2022-01-05 03:00:00,585.0,575.62354
2022-01-05 04:00:00,564.0,556.4261
2022-01-05 05:00:00,572.0,567.22705
2022-01-05 06:00:00,596.0,585.95544
2022-01-05 07:00:00,653.0,599.349
2022-01-05 08:00:00,687.0,631.35205
2022-01-05 09:00:00,731.0,674.6068
2022-01-05 10:00:00,756.0,750.9266
2022-01-05 11:00:00,745.0,756.33386
2022-01-05 12:00:00,792.0,726.40454
2022-01-05 13:00:00,758.0,754.95337
2022-01-05 14:00:00,720.0,749.9512
2022-01-05 15:00:00,701.0,718.02
2022-01-05 16:00:00,718.0,718.74347
2022-01-05 17:00:00,770.0,759.73364
2022-01-05 18:00:00,770.0,796.5865
2022-01-05 19:00:00,882.25,863.83014
2022-01-05 20:00:00,870.0,851.3689
2022-01-05 21:00:00,853.0,839.40234
2022-01-05 22:00:00,802.0,820.27466
2022-01-05 23:00:00,726.0,772.98865
2022-01-06 00:00:00,664.0,728.796
2022-01-06 01:00:00,671.0,647.0287
2022-01-06 02:00:00,531.0,620.3115
2022-01-06 03:00:00,537.0,599.1662
2022-01-06 04:00:00,608.0,588.3186
2022-01-06 05:00:00,588.0,594.4721
2022-01-06 06:00:00,635.0,592.83997
2022-01-06 07:00:00,563.0,579.15375
2022-01-06 08:00:00,747.0,676.3415
2022-01-06 09:00:00,754.0,709.4169
2022-01-06 10:00:00,671.0,780.6625
