,MAPE,APE median,APE q75,APE q90
"Р потр. АО ""Алт""",0.03669023323452524,0.02831768817785145,0.05219801687922062,0.0790425862400828
Р потр. АлмО,0.042235369875921316,0.0334707281540997,0.05994824895132967,0.08779688571832245
Р потр. Жез.э\у,0.04427126791917289,0.03398272652435949,0.05998033388806956,0.09244404532509884
Р потр. Кар.О,0.029371338770383844,0.024049600657200777,0.04125627234874594,0.05952782595367892
Р потр. Кш.э/у,0.052253448707963765,0.04271650229486773,0.07434515831999658,0.10969652677962478
Р потр. ЮкО,0.05242205162825576,0.04280632425258116,0.07360751776025028,0.10955167456809885
Р потр.АктО,0.05841780444862081,0.046130077645506015,0.07779188827050501,0.1154388313150227
Р потр.Атырау,0.04202259478123353,0.03099878525605325,0.057159704015302626,0.09119847003765788
Р потр.ЖамО,0.07273009567227634,0.05757262895776921,0.10157540811544838,0.15384289909811583
Р потр.ЗкО,0.06037085090825127,0.03664033196794436,0.07767057427988605,0.14235366199634694
Р потр.Кар.э\у,0.03778802778856862,0.03197861053170828,0.054379935663478665,0.07693447936976017
Р потр.КзО,0.058359580135989804,0.04068314353724404,0.07617342631022135,0.1275675193115281
Р потр.КтО,0.059821575701675525,0.04900135691772613,0.08426848071237557,0.12307689332412271
Р потр.МанО,0.04825315818468927,0.03752943411317262,0.06576752213407154,0.10321299449959546
Р потр.Павл.,0.0362326451553477,0.0288691701012287,0.049733246774727395,0.07589181767162038
Р потр.Сев-Каз.э/у,0.0827229124207343,0.068912664125132,0.11699352451661525,0.16869098808298957
потр.Акмолин. обл.,0.04143223258958973,0.032977978638755054,0.058238132312997,0.08741841374726539
