step,MAE,RMSE,MAPE_%
0,5.118589401245117,8.471344947814941,33.657814025878906
1,7.004184246063232,11.004318237304688,42.588130950927734
2,7.928083419799805,12.197578430175781,47.93128204345703
3,9.329474449157715,14.167162895202637,52.553279876708984
4,9.718935012817383,14.573596000671387,54.277610778808594
5,9.85319995880127,14.880505561828613,56.345802307128906
6,9.705170631408691,14.82063102722168,54.74107360839844
7,9.967987060546875,15.190305709838867,56.74720001220703
8,10.145618438720703,15.332282066345215,60.17495346069336
9,10.453073501586914,15.869041442871094,59.88949966430664
10,10.381500244140625,15.584931373596191,59.30786895751953
11,10.268415451049805,15.400041580200195,57.48362731933594
12,10.586441993713379,16.00191879272461,59.4215087890625
13,10.326701164245605,15.74880313873291,57.904232025146484
14,10.38244915008545,16.002164840698242,62.01423263549805
15,10.364806175231934,15.845288276672363,62.474571228027344
16,10.728965759277344,16.277721405029297,59.15972137451172
17,11.142301559448242,16.835359573364258,63.607032775878906
18,10.820760726928711,16.482582092285156,62.38313293457031
19,10.771222114562988,16.29058837890625,58.426517486572266
20,10.851340293884277,16.347904205322266,62.85523223876953
21,10.830031394958496,16.447986602783203,61.753379821777344
22,11.423271179199219,17.23632049560547,63.00120544433594
23,11.153475761413574,16.77983856201172,63.87668228149414
